m,n,N,S,N_Bell,N_2Q,C_ent,C_2Q
3,3,9,12,11,10,1.2222222222222223,1.1111111111111112
3,4,12,15,14,13,1.1666666666666667,1.0833333333333333
3,5,15,18,17,16,1.1333333333333333,1.0666666666666667
3,6,18,21,20,19,1.1111111111111112,1.0555555555555556
4,3,12,16,15,14,1.25,1.1666666666666667
4,4,16,20,19,18,1.1875,1.125
4,5,20,24,23,22,1.15,1.1
4,6,24,28,27,26,1.125,1.0833333333333333
5,3,15,20,19,18,1.2666666666666666,1.2
5,4,20,25,24,23,1.2,1.15
5,5,25,30,29,28,1.16,1.12
5,6,30,35,34,33,1.1333333333333333,1.1
6,3,18,24,23,22,1.2777777777777777,1.2222222222222223
6,4,24,30,29,28,1.2083333333333333,1.1666666666666667
6,5,30,36,35,34,1.1666666666666667,1.1333333333333333
6,6,36,42,41,40,1.1388888888888888,1.1111111111111112
7,3,21,28,27,26,1.2857142857142858,1.2380952380952381
7,4,28,35,34,33,1.2142857142857142,1.1785714285714286
7,5,35,42,41,40,1.1714285714285715,1.1428571428571428
7,6,42,49,48,47,1.1428571428571428,1.119047619047619
8,3,24,32,31,30,1.2916666666666667,1.25
8,4,32,40,39,38,1.21875,1.1875
8,5,40,48,47,46,1.175,1.15
8,6,48,56,55,54,1.1458333333333333,1.125
9,3,27,36,35,34,1.2962962962962963,1.2592592592592593
9,4,36,45,44,43,1.2222222222222223,1.1944444444444444
9,5,45,54,53,52,1.1777777777777778,1.1555555555555554
9,6,54,63,62,61,1.1481481481481481,1.1296296296296295
10,3,30,40,39,38,1.3,1.2666666666666666
10,4,40,50,49,48,1.225,1.2
10,5,50,60,59,58,1.18,1.16
10,6,60,70,69,68,1.15,1.1333333333333333
11,3,33,44,43,42,1.303030303030303,1.2727272727272727
11,4,44,55,54,53,1.2272727272727273,1.2045454545454546
11,5,55,66,65,64,1.1818181818181819,1.1636363636363636
11,6,66,77,76,75,1.1515151515151516,1.1363636363636365
12,3,36,48,47,46,1.3055555555555556,1.2777777777777777
12,4,48,60,59,58,1.2291666666666667,1.2083333333333333
12,5,60,72,71,70,1.1833333333333333,1.1666666666666667
12,6,72,84,83,82,1.1527777777777777,1.1388888888888888
