m,n,N,S_links,T_quantum_ms,T_classical_ms,T_serial_ms,H_S_links
3,4,12,14,1.5600000000000003,1.4000000000000001,2.9600000000000004,3.251562326562327
4,4,16,19,1.98,2.0,3.98,3.547739657143682
5,4,20,24,2.4000000000000004,2.6000000000000005,5.000000000000001,3.7759581777535067
6,4,24,29,2.8200000000000003,3.2,6.020000000000001,3.9616537975870574
7,4,28,34,3.24,3.8000000000000003,7.040000000000001,4.118209990445433
8,4,32,39,3.66,4.4,8.06,4.2535430389363755
9,4,36,44,4.08,5.0,9.080000000000002,4.3727258933290996
10,4,40,49,4.500000000000001,5.6,10.100000000000001,4.4792053383294235
11,4,44,54,4.920000000000001,6.2,11.120000000000001,4.575430393744267
12,4,48,59,5.339999999999999,6.800000000000001,12.14,4.6632037462850695
