m,n,N,P_star,C_star,F_lb_circuit
3,3,9,0.9346666666666666,0.9506666666666667,0.9099999999999999
4,3,12,0.9106666666666666,0.916,0.8686666666666667
5,3,15,0.887,0.9073333333333333,0.8406666666666667
6,3,18,0.8616666666666667,0.8946666666666667,0.8090000000000002
7,3,21,0.84,0.8893333333333333,0.7846666666666666
8,3,24,0.8246666666666667,0.8646666666666667,0.7570000000000001
9,3,27,0.805,0.844,0.7270000000000001
10,3,30,0.7903333333333333,0.8293333333333334,0.7050000000000001
11,3,33,0.765,0.8206666666666667,0.6753333333333333
12,3,36,0.7493333333333333,0.812,0.6553333333333333
3,4,12,0.9176666666666666,0.9366666666666666,0.8859999999999999
4,4,16,0.899,0.9286666666666666,0.8633333333333333
5,4,20,0.8563333333333333,0.9206666666666666,0.8166666666666667
6,4,24,0.8323333333333334,0.8846666666666667,0.7746666666666666
7,4,28,0.8136666666666666,0.8593333333333333,0.7433333333333332
8,4,32,0.7776666666666666,0.8553333333333333,0.7053333333333334
9,4,36,0.7643333333333333,0.838,0.6833333333333333
10,4,40,0.742,0.8173333333333334,0.6506666666666667
11,4,44,0.7053333333333334,0.814,0.6123333333333334
12,4,48,0.6926666666666667,0.784,0.5846666666666667
3,5,15,0.8993333333333333,0.9286666666666666,0.8636666666666666
4,5,20,0.8616666666666667,0.9213333333333333,0.8223333333333334
5,5,25,0.8363333333333334,0.9073333333333333,0.79
6,5,30,0.806,0.868,0.74
7,5,35,0.7656666666666667,0.854,0.6926666666666668
8,5,40,0.7493333333333333,0.848,0.6733333333333333
9,5,45,0.7206666666666667,0.816,0.6286666666666667
10,5,50,0.686,0.8026666666666666,0.5873333333333335
11,5,55,0.6616666666666666,0.7773333333333333,0.5503333333333333
12,5,60,0.6373333333333333,0.7746666666666666,0.5246666666666666
3,6,18,0.877,0.9333333333333333,0.8436666666666666
4,6,24,0.8413333333333334,0.91,0.7963333333333333
5,6,30,0.8093333333333333,0.8873333333333333,0.7530000000000001
6,6,36,0.774,0.88,0.714
7,6,42,0.7413333333333333,0.834,0.6583333333333332
8,6,48,0.7053333333333334,0.828,0.6193333333333333
9,6,54,0.6753333333333333,0.798,0.5743333333333334
10,6,60,0.6443333333333333,0.788,0.5383333333333333
11,6,66,0.6153333333333333,0.758,0.4943333333333333
12,6,72,0.5856666666666667,0.7286666666666667,0.44999999999999996
