m,n,N,T_gen_ms,T2_ms,Q_s,P_star,C_star,F_lb
3,4,12,0.0,1000.0,0.03552,0.9176666666666666,0.9366666666666666,0.8696567739718388
4,4,16,0.0,1000.0,0.06368,0.899,0.9286666666666666,0.834686385454017
5,4,20,0.0,1000.0,0.10000000000000002,0.8563333333333333,0.9206666666666666,0.7728601581025534
6,4,24,0.0,1000.0,0.14448000000000003,0.8323333333333334,0.8846666666666667,0.7151605460539971
7,4,28,0.0,1000.0,0.19712000000000002,0.8136666666666666,0.8593333333333333,0.6664625707312855
8,4,32,0.0,1000.0,0.25792000000000004,0.7776666666666666,0.8553333333333333,0.6081063283799546
9,4,36,0.0,1000.0,0.32688000000000006,0.7643333333333333,0.838,0.5665036799275334
10,4,40,0.0,1000.0,0.404,0.742,0.8173333333333334,0.514843897558569
11,4,44,0.0,1000.0,0.48928000000000005,0.7053333333333334,0.814,0.45485186444910997
12,4,48,0.0,1000.0,0.58272,0.6926666666666667,0.784,0.411550651491321
3,4,12,1.0,1000.0,0.06253874791874792,0.9176666666666666,0.9366666666666666,0.8576080706069356
4,4,16,1.0,1000.0,0.10444383451429892,0.899,0.9286666666666666,0.8172832566851307
5,4,20,1.0,1000.0,0.15551916355507014,0.8563333333333333,0.9206666666666666,0.7503651666231941
6,4,24,1.0,1000.0,0.2155596911420894,0.8323333333333334,0.8846666666666667,0.6888938774028435
7,4,28,1.0,1000.0,0.28442987973247214,0.8136666666666666,0.8593333333333333,0.636966391799457
8,4,32,1.0,1000.0,0.36203337724596407,0.7776666666666666,0.8553333333333333,0.5754334871780586
9,4,36,1.0,1000.0,0.44829813215984765,0.7643333333333333,0.838,0.5319545975425428
10,4,40,1.0,1000.0,0.543168213533177,0.742,0.8173333333333334,0.47939647039136135
11,4,44,1.0,1000.0,0.6465989373247478,0.7053333333333334,0.814,0.4185298274642958
12,4,48,1.0,1000.0,0.7585537798216834,0.6926666666666667,0.784,0.376257226524613
3,4,12,5.0,1000.0,0.17061373959373963,0.9176666666666666,0.9366666666666666,0.8125405982878942
4,4,16,5.0,1000.0,0.2674991725714946,0.899,0.9286666666666666,0.7543501042125493
5,4,20,5.0,1000.0,0.37759581777535073,0.8563333333333333,0.9206666666666666,0.6718952925690762
6,4,24,5.0,1000.0,0.49987845571044687,0.8323333333333334,0.8846666666666667,0.6006546727575834
7,4,28,5.0,1000.0,0.6336693986623606,0.8136666666666666,0.8593333333333333,0.5416654552270601
8,4,32,5.0,1000.0,0.7784868862298201,0.7776666666666666,0.8553333333333333,0.4740085003834966
9,4,36,5.0,1000.0,0.933970660799238,0.7643333333333333,0.838,0.4289962177494131
10,4,40,5.0,1000.0,1.0998410676658847,0.742,0.8173333333333334,0.37805493801523393
11,4,44,5.0,1000.0,1.275874686623739,0.7053333333333334,0.814,0.31896230417846405
12,4,48,5.0,1000.0,1.4618888991084167,0.6926666666666667,0.784,0.2835314896753417
3,4,12,10.0,1000.0,0.3057074791874792,0.9176666666666666,0.9366666666666666,0.7626419644749638
4,4,16,10.0,1000.0,0.47131834514298915,0.899,0.9286666666666666,0.6888270425234502
5,4,20,10.0,1000.0,0.6551916355507015,0.8563333333333333,0.9206666666666666,0.5954040106465492
6,4,24,10.0,1000.0,0.8552769114208938,0.8323333333333334,0.8846666666666667,0.5203981803403219
7,4,28,10.0,1000.0,1.070218797324721,0.8136666666666666,0.8593333333333333,0.4610137503093543
8,4,32,10.0,1000.0,1.29905377245964,0.7776666666666666,0.8553333333333333,0.3943297677829486
9,4,36,10.0,1000.0,1.541061321598476,0.7643333333333333,0.838,0.3540637314674554
10,4,40,10.0,1000.0,1.7956821353317691,0.742,0.8173333333333334,0.30984445730311994
11,4,44,10.0,1000.0,2.0624693732474775,0.7053333333333334,0.814,0.25707916141907416
12,4,48,10.0,1000.0,2.3410577982168332,0.6926666666666667,0.784,0.2303871790513985
