m,n,N,T2_ms,Q_s,Q_over_T2,P_star,C_star,F_lb_circuit,F_lb
3,4,12,1.0,0.03552,35.52,0.9176666666666666,0.9366666666666666,0.8859999999999999,0.41766666666666685
3,4,12,10.0,0.03552,3.552,0.9176666666666666,0.9366666666666666,0.8859999999999999,0.43109249437974384
3,4,12,100.0,0.03552,0.3552,0.9176666666666666,0.9366666666666666,0.8859999999999999,0.7459838925573876
3,4,12,1000.0,0.03552,0.03552,0.9176666666666666,0.9366666666666666,0.8859999999999999,0.8696567739718388
4,4,16,1.0,0.06368,63.68,0.899,0.9286666666666666,0.8633333333333333,0.399
4,4,16,10.0,0.06368,6.368,0.899,0.9286666666666666,0.8633333333333333,0.39979660421669083
4,4,16,100.0,0.06368,0.6367999999999999,0.899,0.9286666666666666,0.8633333333333333,0.6446241900499923
4,4,16,1000.0,0.06368,0.06368,0.899,0.9286666666666666,0.8633333333333333,0.834686385454017
5,4,20,1.0,0.10000000000000002,100.00000000000001,0.8563333333333333,0.9206666666666666,0.8166666666666667,0.3563333333333333
5,4,20,10.0,0.10000000000000002,10.000000000000002,0.8563333333333333,0.9206666666666666,0.8166666666666667,0.35635423243433395
5,4,20,100.0,0.10000000000000002,1.0000000000000002,0.8563333333333333,0.9206666666666666,0.8166666666666667,0.5256805027525873
5,4,20,1000.0,0.10000000000000002,0.10000000000000002,0.8563333333333333,0.9206666666666666,0.8166666666666667,0.7728601581025534
6,4,24,1.0,0.14448000000000003,144.48000000000002,0.8323333333333334,0.8846666666666667,0.7746666666666666,0.33233333333333337
6,4,24,10.0,0.14448000000000003,14.448000000000002,0.8323333333333334,0.8846666666666667,0.7746666666666666,0.33233356833069894
6,4,24,100.0,0.14448000000000003,1.4448,0.8323333333333334,0.8846666666666667,0.7746666666666666,0.4366325389518223
6,4,24,1000.0,0.14448000000000003,0.14448000000000003,0.8323333333333334,0.8846666666666667,0.7746666666666666,0.7151605460539971
7,4,28,1.0,0.19712000000000002,197.12,0.8136666666666666,0.8593333333333333,0.7433333333333332,0.31366666666666665
7,4,28,10.0,0.19712000000000002,19.712,0.8136666666666666,0.8593333333333333,0.7433333333333332,0.31366666784785413
7,4,28,100.0,0.19712000000000002,1.9712,0.8136666666666666,0.8593333333333333,0.7433333333333332,0.37351476839045694
7,4,28,1000.0,0.19712000000000002,0.19712000000000002,0.8136666666666666,0.8593333333333333,0.7433333333333332,0.6664625707312855
8,4,32,1.0,0.25792000000000004,257.92,0.7776666666666666,0.8553333333333333,0.7053333333333334,0.2776666666666666
8,4,32,10.0,0.25792000000000004,25.792,0.7776666666666666,0.8553333333333333,0.7053333333333334,0.2776666666693568
8,4,32,100.0,0.25792000000000004,2.5792,0.7776666666666666,0.8553333333333333,0.7053333333333334,0.3100986175723708
8,4,32,1000.0,0.25792000000000004,0.25792000000000004,0.7776666666666666,0.8553333333333333,0.7053333333333334,0.6081063283799546
9,4,36,1.0,0.32688000000000006,326.88000000000005,0.7643333333333333,0.838,0.6833333333333333,0.2643333333333333
9,4,36,10.0,0.32688000000000006,32.688,0.7643333333333333,0.838,0.6833333333333333,0.264333333333336
9,4,36,100.0,0.32688000000000006,3.2688000000000006,0.7643333333333333,0.838,0.6833333333333333,0.2802771473797313
9,4,36,1000.0,0.32688000000000006,0.32688000000000006,0.7643333333333333,0.838,0.6833333333333333,0.5665036799275334
10,4,40,1.0,0.404,404.0,0.742,0.8173333333333334,0.6506666666666667,0.242
10,4,40,10.0,0.404,40.4,0.742,0.8173333333333334,0.6506666666666667,0.242
10,4,40,100.0,0.404,4.04,0.742,0.8173333333333334,0.6506666666666667,0.2491915003938514
10,4,40,1000.0,0.404,0.404,0.742,0.8173333333333334,0.6506666666666667,0.514843897558569
11,4,44,1.0,0.48928000000000005,489.28000000000003,0.7053333333333334,0.814,0.6123333333333334,0.20533333333333337
11,4,44,10.0,0.48928000000000005,48.928000000000004,0.7053333333333334,0.814,0.6123333333333334,0.20533333333333337
11,4,44,100.0,0.48928000000000005,4.8928,0.7053333333333334,0.814,0.6123333333333334,0.20838599285638926
11,4,44,1000.0,0.48928000000000005,0.48928000000000005,0.7053333333333334,0.814,0.6123333333333334,0.45485186444910997
12,4,48,1.0,0.58272,582.72,0.6926666666666667,0.784,0.5846666666666667,0.19266666666666665
12,4,48,10.0,0.58272,58.272,0.6926666666666667,0.784,0.5846666666666667,0.19266666666666665
12,4,48,100.0,0.58272,5.8271999999999995,0.6926666666666667,0.784,0.5846666666666667,0.19382162219519117
12,4,48,1000.0,0.58272,0.58272,0.6926666666666667,0.784,0.5846666666666667,0.411550651491321
